question,ground_truth,page
What was Swiggy's standalone total income in FY2024?,"₹70,166 million",3
What was Swiggy's standalone net sales from business operations in FY2024?,"₹63,723 million",3
What was Swiggy's standalone net loss after tax in FY2024?,"₹18,880 million",3
What was Swiggy's consolidated total income in FY2024?,"₹116,343 million",4
What was Swiggy's consolidated net sales from business operations in FY2024?,"₹112,474 million",3
What was Swiggy's consolidated net loss after tax in FY2024?,"₹23,502 million",4
In which year did Swiggy launch Food Delivery?,2014,4
In how many cities did Swiggy's Food Delivery operate?,653 cities,4
How many average monthly transacting users did Food Delivery serve?,~13 million users,4
How many average monthly restaurant partners did Swiggy have?,196k restaurant partners,4
When was Instamart launched?,2020,4
In how many cities was Instamart available?,27 cities,4
How many active dark stores did Instamart have?,523 active dark stores,4
When did Swiggy acquire Dineout?,2022,5
In how many cities is Dineout the leader?,43 cities,5
What was Swiggy Platform GOV in FY24?,₹350 billion,6
What was Food Delivery GOV in FY24?,₹247 billion,6
What was Out-of-home Consumption GOV in FY24?,₹22 billion,6
What was Quick Commerce GOV in FY24?,₹81 billion,6
What was the average MTU on the Swiggy platform?,14.3 million,6
What was the average MTU for Food Delivery?,12.7 million,6
What was the average MTU for Quick Commerce?,4.2 million,6
What was the Food Delivery B2C GOV in FY24?,₹247 billion,7
How many B2C food delivery orders were recorded in FY24?,760 million,7
What was the platform frequency in FY24?,4.5,7
How many average monthly transacting delivery partners were there?,"393,000",7
What was Food Delivery gross revenue in FY24?,₹123 billion,7
What was Quick Commerce gross revenue in FY24?,₹61 billion,8
What was Quick Commerce AOV in FY24?,₹428,8
What was Quick Commerce GOV per MTU in FY24?,"₹1,618",8
What was Quick Commerce average MTU in FY24?,12.7 million,8
What was Out-of-home Consumption gross revenue in FY24?,₹11 billion,9
What was Out-of-home Consumption AOV in FY24?,₹460,9
What was Out-of-home Consumption GOV per MTU in FY24?,"₹1,587",9
What was Out-of-home Consumption average MTU in FY24?,4.2 million,9
What underpins Swiggy's innovation culture?,Addressing unsolved user convenience problems,10
When was Swiggy Genie launched?,2020,10
In how many cities is Swiggy Genie present?,69 cities,10
When was Swiggy Minis launched?,2022,10
When was Swiggy Mall launched?,2023,10
When was Handpicked launched?,2023,10
Into which service was Swiggy Mall integrated?,Instamart,11
What was InsanelyGood relaunched as?,Handpicked,11
What was the company's previous name?,Bundl Technologies Private Limited,11
What is the current registered name?,Swiggy Limited,1
What is Swiggy Limited's CIN?,U74110KA2013PLC096530,1
Who is the Managing Director and Group CEO?,Sriharsha Majety,1
Who is the Chief Financial Officer?,Rahul Bothra,1
Who is the Company Secretary and Compliance Officer?,M. Sridhar,1
Was any dividend recommended for FY2024?,No,12
How many board meetings were held during the year?,6,15
