question,ground_truth,page,generated_answer,retrieved_context
What was Swiggy's standalone total income in FY2024?,"₹70,166 million",3,"The Swiggy's standalone total income in FY2024 was ₹70,166 million.","3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)

3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)

3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)"
What was Swiggy's standalone net sales from business operations in FY2024?,"₹63,723 million",3,Answer not found in the document.,"6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners

6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners

6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners"
What was Swiggy's standalone net loss after tax in FY2024?,"₹18,880 million",3,"(23,502)","4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled

4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled

4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled"
What was Swiggy's consolidated total income in FY2024?,"₹116,343 million",4,Answer not found in the document.,"3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)

3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)

3 
BOARD’S REPORT 
To, 
The Members of  
Swiggy Limited 
Your directors are presenting the Eleventh Annual Report together with the Audited financial statements 
and the Auditors’ Report on the business and operations of your Company for the financial year ended 
March 31, 2024.  
1. FINANCIAL SUMMARY
The standalone performance as per standalone financial statements is as under:
(Amount ₹ in Million) 
Particulars For the Year ended 
March 31, 2024  
For the Year ended 
March 31, 2023  
Net Sales /Income from Business Operations  63,723 46,533 
Other Income  6,443 7,080 
Total Income 70,166 53,613 
Less: Total expenses including Depreciation  88,020 88,860 
Profit/(Loss) after depreciation and other 
expenses 
(17,854) (35,247) 
Less: Exceptional Items + Taxes  (1026) (2,329) 
Net Profit/(Loss) after Tax  (18,880) (37,576) 
Other comprehensive income  936 (139) 
Total comprehensive loss for the year, net of tax  (17,945) (37,715) 
Earnings per share (Basic and Diluted)*  (8.60) (17.38)"
What was Swiggy's consolidated net sales from business operations in FY2024?,"₹112,474 million",3,Answer not found in the document.,"6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners

6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners

6  
Business overview: 33 
 
 
FY24 review: 
 
Swiggy Overall: The continued scale-up in the recent years is driven by an upwards momentum witnessed 
in demand and supply side factors with ~14mn users transacting on our platform at a high frequency of 
~4.5x4 supported by our wide delivery network of 390k+ delivery partners 5. Profitability has sharply 
improved YoY, as the peak of investments in Instamart is behind us and the business continues to grow 
rapidly; while the relatively more mature Food delivery business is scaling -up profitably.  
 
3 FY23-24 Growth; MTU: Monthly Transacting Users,  
4 Frequency indicates orders per month  
5 Average Monthly Transacting Delivery Partners"
What was Swiggy's consolidated net loss after tax in FY2024?,"₹23,502 million",4,"(23,502)","4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled

4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled

4  
Total Income 116,343 87,145 
Less: Total expenses including Depreciation  139,474 128,844 
Profit/(Loss) after depreciation and other 
expenses 
(23,130) (41,699) 
Less: Exceptional Items + Taxes (306) (93) 
Less: Share in net loss of an associate  (66) (1) 
Net Profit/(Loss) after Tax  (23,502) (41,793) 
Other comprehensive income  943 (129) 
Total comprehensive loss for the year, net of tax  (22,560) (41,922) 
Earnings per share (Basic and Diluted)* (10.70) (19.33) 
*(Amount in actual Rupees)  
 
The Directors of the Company are taking all effective steps to increase the revenue and reduce the operating 
cost of the Company. Your directors are confident that the Company will grow and prosper in the coming 
years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled"
In which year did Swiggy launch Food Delivery?,2014,4,2014.,"years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception."
In how many cities did Swiggy's Food Delivery operate?,653 cities,4,653 cities across India.,"years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception."
How many average monthly transacting users did Food Delivery serve?,~13 million users,4,Answer not found in the document.,"7  
 
 
 
 
 
 
Food Delivery: Our Food Delivery segment has continued to grow with a ~1. 1x6 expansion in user base 
and a ~1.1x expansion in no. of restaurant partners. The expansion in GOV is catalyzed by an increase in 
AOV due to increased premium offerings and larger basket sizes. Our total orders also grew by 17%6 driven 
by increasing user base and ordering frequency.  
 
 
 
6 YoY Growth

7  
 
 
 
 
 
 
Food Delivery: Our Food Delivery segment has continued to grow with a ~1. 1x6 expansion in user base 
and a ~1.1x expansion in no. of restaurant partners. The expansion in GOV is catalyzed by an increase in 
AOV due to increased premium offerings and larger basket sizes. Our total orders also grew by 17%6 driven 
by increasing user base and ordering frequency.  
 
 
 
6 YoY Growth

7  
 
 
 
 
 
 
Food Delivery: Our Food Delivery segment has continued to grow with a ~1. 1x6 expansion in user base 
and a ~1.1x expansion in no. of restaurant partners. The expansion in GOV is catalyzed by an increase in 
AOV due to increased premium offerings and larger basket sizes. Our total orders also grew by 17%6 driven 
by increasing user base and ordering frequency.  
 
 
 
6 YoY Growth"
How many average monthly restaurant partners did Swiggy have?,196k restaurant partners,4,Answer not found in the document.,"years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception.

years. 
 
2. RESULTS OF OPERATIONS AND THE STATE OF COMPANY’S AFFAIRS  
 
History: 
 
At Swiggy, our mission is to elevate the quality of life for urban consumers by offering unparalleled 
convenience. Innovation has been an integral part of our DNA which encourages us to ideate, experiment 
and iterate constantly with the focus on identifying and addressing convenience needs of our users at the 
core of our innovation approach.  
 
Being among the first hyperlocal commerce platforms, Swiggy has successfully pioneered the industry in 
India, launching Food Delivery in 2014. Today, Swiggy offers its Food Delivery service in 653 cities across 
India serving ~13mn users 1 through a wide network of 196k restaurant partners 2. Our sharp focus on 
innovation coupled with strong execution yielded yet another milestone - we became one of the very few 
global food delivery platforms to achieve EBITDA profitability in less than 9 years since inception."
